id,type,src,dst,app,latency,message,ctime,size,buffer
83,LINK,2,5,Aplikasi B,2.00001,M.Action,421.000005,10,1
85,LINK,12,2,Aplikasi B,1.000005,M.Action,430,10,0
86,LINK,2,5,Aplikasi B,2.00001,M.Action,430,10,1
85,LINK,2,5,Aplikasi B,2.00001,M.Action,431.000005,10,1
87,LINK,12,2,Aplikasi B,1.000005,M.Action,440,10,0
88,LINK,2,5,Aplikasi B,2.00001,M.Action,440,10,1
87,LINK,2,5,Aplikasi B,2.00001,M.Action,441.000005,10,1
89,LINK,12,2,Aplikasi B,1.000005,M.Action,450,10,0
90,LINK,2,5,Aplikasi B,2.00001,M.Action,450,10,1
89,LINK,2,5,Aplikasi B,2.00001,M.Action,451.000005,10,1
91,LINK,12,2,Aplikasi B,1.000005,M.Action,460,10,0
92,LINK,2,5,Aplikasi B,2.00001,M.Action,460,10,1
91,LINK,2,5,Aplikasi B,2.00001,M.Action,461.000005,10,1
93,LINK,12,2,Aplikasi B,1.000005,M.Action,470,10,0
94,LINK,2,5,Aplikasi B,2.00001,M.Action,470,10,1
93,LINK,2,5,Aplikasi B,2.00001,M.Action,471.000005,10,1
95,LINK,12,2,Aplikasi B,1.000005,M.Action,480,10,0
96,LINK,2,5,Aplikasi B,2.00001,M.Action,480,10,1
95,LINK,2,5,Aplikasi B,2.00001,M.Action,481.000005,10,1
97,LINK,12,2,Aplikasi B,1.000005,M.Action,490,10,0
98,LINK,2,5,Aplikasi B,2.00001,M.Action,490,10,1
97,LINK,2,5,Aplikasi B,2.00001,M.Action,491.000005,10,1
99,LINK,12,2,Aplikasi B,1.000005,M.Action,500,10,0
100,LINK,2,5,Aplikasi B,2.00001,M.Action,500,10,1
99,LINK,2,5,Aplikasi B,2.00001,M.Action,501.000005,10,1
101,LINK,12,2,Aplikasi B,1.000005,M.Action,510,10,0
102,LINK,2,5,Aplikasi B,2.00001,M.Action,510,10,1
101,LINK,2,5,Aplikasi B,2.00001,M.Action,511.000005,10,1
103,LINK,12,2,Aplikasi B,1.000005,M.Action,520,10,0
104,LINK,2,5,Aplikasi B,2.00001,M.Action,520,10,1
103,LINK,2,5,Aplikasi B,2.00001,M.Action,521.000005,10,1
105,LINK,12,2,Aplikasi B,1.000005,M.Action,530,10,0
106,LINK,2,5,Aplikasi B,2.00001,M.Action,530,10,1
105,LINK,2,5,Aplikasi B,2.00001,M.Action,531.000005,10,1
107,LINK,12,2,Aplikasi B,1.000005,M.Action,540,10,0
108,LINK,2,5,Aplikasi B,2.00001,M.Action,540,10,1
107,LINK,2,5,Aplikasi B,2.00001,M.Action,541.000005,10,1
109,LINK,12,2,Aplikasi B,1.000005,M.Action,550,10,0
110,LINK,2,5,Aplikasi B,2.00001,M.Action,550,10,1
109,LINK,2,5,Aplikasi B,2.00001,M.Action,551.000005,10,1
111,LINK,12,2,Aplikasi B,1.000005,M.Action,560,10,0
112,LINK,2,5,Aplikasi B,2.00001,M.Action,560,10,1
111,LINK,2,5,Aplikasi B,2.00001,M.Action,561.000005,10,1
113,LINK,12,2,Aplikasi B,1.000005,M.Action,570,10,0
114,LINK,2,5,Aplikasi B,2.00001,M.Action,570,10,1
113,LINK,2,5,Aplikasi B,2.00001,M.Action,571.000005,10,1
115,LINK,12,2,Aplikasi B,1.000005,M.Action,580,10,0
116,LINK,2,5,Aplikasi B,2.00001,M.Action,580,10,1
115,LINK,2,5,Aplikasi B,2.00001,M.Action,581.000005,10,1
117,LINK,12,2,Aplikasi B,1.000005,M.Action,590,10,0
118,LINK,2,5,Aplikasi B,2.00001,M.Action,590,10,1
117,LINK,2,5,Aplikasi B,2.00001,M.Action,591.000005,10,1
119,LINK,12,2,Aplikasi B,1.000005,M.Action,600,10,0
120,LINK,2,5,Aplikasi B,2.00001,M.Action,600,10,1
119,LINK,2,5,Aplikasi B,2.00001,M.Action,601.000005,10,1
121,LINK,12,2,Aplikasi B,1.000005,M.Action,610,10,0
122,LINK,2,5,Aplikasi B,2.00001,M.Action,610,10,1
121,LINK,2,5,Aplikasi B,2.00001,M.Action,611.000005,10,1
123,LINK,12,2,Aplikasi B,1.000005,M.Action,620,10,0
124,LINK,2,5,Aplikasi B,2.00001,M.Action,620,10,1
123,LINK,2,5,Aplikasi B,2.00001,M.Action,621.000005,10,1
125,LINK,12,2,Aplikasi B,1.000005,M.Action,630,10,0
126,LINK,2,5,Aplikasi B,2.00001,M.Action,630,10,1
125,LINK,2,5,Aplikasi B,2.00001,M.Action,631.000005,10,1
127,LINK,12,2,Aplikasi B,1.000005,M.Action,640,10,0
128,LINK,2,5,Aplikasi B,2.00001,M.Action,640,10,1
127,LINK,2,5,Aplikasi B,2.00001,M.Action,641.000005,10,1
129,LINK,12,2,Aplikasi B,1.000005,M.Action,650,10,0
130,LINK,2,5,Aplikasi B,2.00001,M.Action,650,10,1
129,LINK,2,5,Aplikasi B,2.00001,M.Action,651.000005,10,1
131,LINK,12,2,Aplikasi B,1.000005,M.Action,660,10,0
132,LINK,2,5,Aplikasi B,2.00001,M.Action,660,10,1
131,LINK,2,5,Aplikasi B,2.00001,M.Action,661.000005,10,1
133,LINK,12,2,Aplikasi B,1.000005,M.Action,670,10,0
134,LINK,2,5,Aplikasi B,2.00001,M.Action,670,10,1
133,LINK,2,5,Aplikasi B,2.00001,M.Action,671.000005,10,1
135,LINK,12,2,Aplikasi B,1.000005,M.Action,680,10,0
136,LINK,2,5,Aplikasi B,2.00001,M.Action,680,10,1
135,LINK,2,5,Aplikasi B,2.00001,M.Action,681.000005,10,1
137,LINK,12,2,Aplikasi B,1.000005,M.Action,690,10,0
138,LINK,2,5,Aplikasi B,2.00001,M.Action,690,10,1
137,LINK,2,5,Aplikasi B,2.00001,M.Action,691.000005,10,1
139,LINK,12,2,Aplikasi B,1.000005,M.Action,700,10,0
140,LINK,2,5,Aplikasi B,2.00001,M.Action,700,10,1
139,LINK,2,5,Aplikasi B,2.00001,M.Action,701.000005,10,1
141,LINK,12,2,Aplikasi B,1.000005,M.Action,710,10,0
142,LINK,2,5,Aplikasi B,2.00001,M.Action,710,10,1
141,LINK,2,5,Aplikasi B,2.00001,M.Action,711.000005,10,1
143,LINK,12,2,Aplikasi B,1.000005,M.Action,720,10,0
144,LINK,2,5,Aplikasi B,2.00001,M.Action,720,10,1
143,LINK,2,5,Aplikasi B,2.00001,M.Action,721.000005,10,1
145,LINK,12,2,Aplikasi B,1.000005,M.Action,730,10,0
146,LINK,2,5,Aplikasi B,2.00001,M.Action,730,10,1
145,LINK,2,5,Aplikasi B,2.00001,M.Action,731.000005,10,1
147,LINK,12,2,Aplikasi B,1.000005,M.Action,740,10,0
148,LINK,2,5,Aplikasi B,2.00001,M.Action,740,10,1
147,LINK,2,5,Aplikasi B,2.00001,M.Action,741.000005,10,1
149,LINK,12,2,Aplikasi B,1.000005,M.Action,750,10,0
150,LINK,2,5,Aplikasi B,2.00001,M.Action,750,10,1
149,LINK,2,5,Aplikasi B,2.00001,M.Action,751.000005,10,1
151,LINK,12,2,Aplikasi B,1.000005,M.Action,760,10,0
152,LINK,2,5,Aplikasi B,2.00001,M.Action,760,10,1
151,LINK,2,5,Aplikasi B,2.00001,M.Action,761.000005,10,1
153,LINK,12,2,Aplikasi B,1.000005,M.Action,770,10,0
154,LINK,2,5,Aplikasi B,2.00001,M.Action,770,10,1
153,LINK,2,5,Aplikasi B,2.00001,M.Action,771.000005,10,1
155,LINK,12,2,Aplikasi B,1.000005,M.Action,780,10,0
156,LINK,2,5,Aplikasi B,2.00001,M.Action,780,10,1
155,LINK,2,5,Aplikasi B,2.00001,M.Action,781.000005,10,1
157,LINK,12,2,Aplikasi B,1.000005,M.Action,790,10,0
158,LINK,2,5,Aplikasi B,2.00001,M.Action,790,10,1
157,LINK,2,5,Aplikasi B,2.00001,M.Action,791.000005,10,1
159,LINK,12,2,Aplikasi B,1.000005,M.Action,800,10,0
160,LINK,2,5,Aplikasi B,2.00001,M.Action,800,10,1
159,LINK,2,5,Aplikasi B,2.00001,M.Action,801.000005,10,1
161,LINK,12,2,Aplikasi B,1.000005,M.Action,810,10,0
162,LINK,2,5,Aplikasi B,2.00001,M.Action,810,10,1
161,LINK,2,5,Aplikasi B,2.00001,M.Action,811.000005,10,1
163,LINK,12,2,Aplikasi B,1.000005,M.Action,820,10,0
164,LINK,2,5,Aplikasi B,2.00001,M.Action,820,10,1
163,LINK,2,5,Aplikasi B,2.00001,M.Action,821.000005,10,1
165,LINK,12,2,Aplikasi B,1.000005,M.Action,830,10,0
166,LINK,2,5,Aplikasi B,2.00001,M.Action,830,10,1
165,LINK,2,5,Aplikasi B,2.00001,M.Action,831.000005,10,1
167,LINK,12,2,Aplikasi B,1.000005,M.Action,840,10,0
168,LINK,2,5,Aplikasi B,2.00001,M.Action,840,10,1
167,LINK,2,5,Aplikasi B,2.00001,M.Action,841.000005,10,1
169,LINK,12,2,Aplikasi B,1.000005,M.Action,850,10,0
170,LINK,2,5,Aplikasi B,2.00001,M.Action,850,10,1
169,LINK,2,5,Aplikasi B,2.00001,M.Action,851.000005,10,1
171,LINK,12,2,Aplikasi B,1.000005,M.Action,860,10,0
172,LINK,2,5,Aplikasi B,2.00001,M.Action,860,10,1
171,LINK,2,5,Aplikasi B,2.00001,M.Action,861.000005,10,1
173,LINK,12,2,Aplikasi B,1.000005,M.Action,870,10,0
174,LINK,2,5,Aplikasi B,2.00001,M.Action,870,10,1
173,LINK,2,5,Aplikasi B,2.00001,M.Action,871.000005,10,1
175,LINK,12,2,Aplikasi B,1.000005,M.Action,880,10,0
176,LINK,2,5,Aplikasi B,2.00001,M.Action,880,10,1
175,LINK,2,5,Aplikasi B,2.00001,M.Action,881.000005,10,1
177,LINK,12,2,Aplikasi B,1.000005,M.Action,890,10,0
178,LINK,2,5,Aplikasi B,2.00001,M.Action,890,10,1
177,LINK,2,5,Aplikasi B,2.00001,M.Action,891.000005,10,1
179,LINK,12,2,Aplikasi B,1.000005,M.Action,900,10,0
180,LINK,2,5,Aplikasi B,2.00001,M.Action,900,10,1
179,LINK,2,5,Aplikasi B,2.00001,M.Action,901.000005,10,1
